Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),,
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),38,9,1,15,3,14,,65,22,19,45,47,16,3,13,12,27,6,15,8,2,,
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),19,11,12,18,2,1,,25,9,36,15,12,4,1,2,29,9,7,2,9,2,,
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),28,16,18,27,3,15,,4,13,54,22,18,6,1,4,29,13,7,2,2,4,,
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),47,27,3,45,5,25,,65,22,9,37,3,1,2,6,29,22,7,4,2,6,,
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),94,53,59,91,1,5,,135,44,18,75,59,2,3,12,29,44,7,8,4,1,,
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),188,16,118,182,2,11,1,265,89,36,15,118,39,6,24,1,87,7,15,8,25,,
Chicken & Fish,Filet-O-Fish,5 oz (142 g),39,17,19,29,4,19,,4,14,59,24,39,13,2,7,5,15,2,8,15,1,,
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),14,7,7,11,4,18,,25,9,3,13,1,3,3,12,4,9,17,3,15,6,,
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),38,19,21,33,6,29,,7,23,86,36,22,7,2,1,5,25,1,25,15,8,,
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),22,8,8,13,4,2,,85,29,69,29,8,3,2,1,4,29,11,3,15,8,,
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),14,4,5,7,2,9,,1,3,15,6,2,7,6,23,6,6,16,25,15,1,,
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),45,19,22,33,5,22,,5,17,85,35,42,14,7,28,12,23,17,3,15,15,,
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),29,8,8,13,3,13,,7,23,68,28,28,9,7,28,1,27,17,3,15,15,,
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),34,13,15,23,5,22,,3,11,78,33,37,12,1,6,8,14,4,8,1,1,,
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),26,7,8,13,4,18,,4,14,7,29,3,1,1,6,7,16,4,2,1,1,,
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),33,13,15,23,5,22,,35,11,73,3,34,11,1,5,3,14,2,8,1,1,,
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),25,7,8,13,4,18,,45,14,65,27,27,9,1,5,2,16,2,2,1,1,,
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),36,18,2,3,5,27,,4,13,81,34,32,11,1,5,3,15,2,8,1,1,,
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),28,12,13,2,5,22,,45,16,72,3,25,8,1,5,2,16,2,2,1,1,,
Snacks & Sides,Small French Fries,2.6 oz (75 g),23,1,11,17,2,8,,,,13,5,3,1,2,1,29,2,7,3,9,4,,
Snacks & Sides,Medium French Fries,3.9 oz (111 g),34,14,16,24,3,11,,,,19,8,44,15,4,14,29,4,7,45,2,4,,
Snacks & Sides,Large French Fries,5.9 oz (168 g),51,22,24,37,4,17,,,,29,12,67,22,5,22,29,6,7,7,2,8,,
Snacks & Sides,Kids French Fries,1.3 oz (38 g),11,5,5,8,1,4,,,,65,3,15,5,1,5,29,1,7,15,9,2,,
Snacks & Sides,Side Salad,3.1 oz (87 g),2,,,,,,,,,1,,4,1,1,6,2,1,45,25,2,4,,
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,,,,,,,,,,,4,1,2,8,3,13,7,16,2,6,,
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),15,2,2,3,1,5,,5,2,7,3,3,1,1,3,23,4,2,15,1,4,,
Desserts,Baked Apple Pie,2.7 oz (77 g),25,11,13,19,7,35,,,,17,7,32,11,4,15,13,2,4,25,2,6,,
